scaffold9,371,83,371,371,83,371,371,83,371
scaffold12,549,117,549,549,117,549,549,117,549
scaffold16,304,109,538,304,109,538,304,109,538
scaffold2,680,222,680,680,222,680,680,222,680
scaffold4,876,244,876,876,244,876,876,244,876
scaffold20,12108,4508,14373,277,102,1000,498,132,1000
scaffold10,15352,7389,17262,1000,234,1000,1000,638,1000
scaffold11,29445,11111,32419,1000,334,1000,1000,282,1000
scaffold24,10208,3879,11771,1000,274,1000,127,71,1000
scaffold1,16307,5386,16416,1000,409,1000,1000,370,1000
scaffold3,37620,13100,40117,1000,371,1000,748,211,1000
scaffold6,51875,17490,69808,1000,427,1000,1000,459,1000
scaffold15,58555,19852,64165,1000,212,1000,1000,475,1000
scaffold28,225237,85683,230962,824,229,1000,853,244,1000
scaffold30,234,85,285,234,85,285,234,85,285
scaffold22,19580,6503,21363,706,276,1000,1000,222,1000
scaffold18,240381,81733,243642,861,223,1000,1000,319,1000
scaffold21,89770,29383,97560,104,58,1000,1000,287,1000
scaffold7,102117,28675,127157,687,168,1000,1000,220,1000
scaffold32,19459,6260,19459,1000,313,1000,1000,307,1000
scaffold36,6497,1739,7067,1000,236,1000,1000,271,1000
scaffold13,245146,77531,253264,478,151,1000,1000,294,1000
scaffold23,188117,65920,196845,112,57,1000,1000,365,1000
scaffold39,381,112,381,381,112,381,381,112,381
scaffold19,292618,102916,297734,1000,279,1000,1000,253,1000
scaffold41,361,69,361,361,69,361,361,69,361
scaffold29,303598,104079,309349,1000,243,1000,1000,256,1000
scaffold37,91750,28474,94153,950,257,1000,1000,179,1000
scaffold33,32400,8827,37405,1000,323,1000,1000,280,1000
scaffold45,4349,1381,4349,1000,324,1000,1000,266,1000
scaffold38,33033,8829,39667,1000,262,1000,693,158,1000
scaffold17,565763,188580,585899,869,230,1000,1000,289,1000
scaffold5,132136,41618,143234,1000,301,1000,1000,534,1000
scaffold46,27330,9672,32138,1000,387,1000,1000,522,1000
scaffold48,28329,11331,34700,1000,446,1000,1000,380,1000
scaffold31,109952,34203,129883,1000,260,1000,1000,296,1000
scaffold25,521220,190870,534746,1000,380,1000,1000,341,1000
scaffold51,8478,4674,11187,353,173,1000,1000,443,1000
scaffold49,43226,13367,43504,1000,387,1000,1000,399,1000
scaffold44,47984,17523,56673,1000,249,1000,1000,306,1000
scaffold47,102172,35421,115754,1000,247,1000,1000,313,1000
scaffold54,335313,94370,345147,1000,281,1000,1000,304,1000
scaffold43,166127,51249,176953,244,53,1000,1000,339,1000
scaffold55,49034,19576,50685,905,265,1000,1000,301,1000
scaffold60,347,133,347,347,133,347,347,133,347
scaffold35,711693,250628,724675,1000,267,1000,1000,420,1000
scaffold42,352740,125620,372649,1000,294,1000,1000,398,1000
scaffold63,905,311,917,905,311,917,905,311,917
scaffold53,106867,38018,111788,1000,279,1000,1000,344,1000
scaffold50,73011,24659,96101,1000,304,1000,207,85,1000
scaffold40,215087,71445,230737,1000,397,1000,1000,290,1000
scaffold67,1661,583,2930,957,229,1000,704,354,1000
scaffold61,155470,46865,161482,1000,389,1000,1000,355,1000
scaffold69,1483,374,1483,1000,253,1000,1000,257,1000
scaffold34,212351,70613,227986,998,316,1000,1000,416,1000
scaffold70,12220,5413,12718,1000,368,1000,1000,270,1000
scaffold27,831628,308724,834521,1000,299,1000,1000,244,1000
scaffold73,4335,1569,4405,1000,323,1000,1000,340,1000
scaffold8,566063,196439,598707,1000,425,1000,1000,308,1000
scaffold75,951,304,1160,791,266,1000,791,247,1000
scaffold71,13551,4002,15636,1000,308,1000,1000,338,1000
scaffold74,10256,3690,11402,1000,262,1000,182,61,1000
scaffold14,983393,326913,1002015,1000,193,1000,1000,337,1000
scaffold66,103630,38794,104871,1000,327,1000,1000,236,1000
scaffold65,688014,250378,696824,1000,252,1000,1000,280,1000
scaffold80,39786,13501,42846,1000,253,1000,1000,363,1000
scaffold62,585728,206824,588856,1000,402,1000,1000,266,1000
scaffold76,67781,22310,76185,1000,278,1000,1000,280,1000
scaffold79,94794,28636,98524,1000,296,1000,1000,239,1000
scaffold85,268,145,490,268,145,490,268,145,490
scaffold78,137730,39149,164285,1000,280,1000,1000,353,1000
scaffold86,20823,7757,23578,1000,506,1000,1000,337,1000
scaffold88,10145,3027,10145,1000,288,1000,1000,277,1000
scaffold81,68727,20946,75633,1000,337,1000,1000,422,1000
scaffold87,26279,7868,33413,1000,288,1000,1000,282,1000
scaffold26,767552,252309,800024,985,184,1000,1000,325,1000
scaffold92,8346,3142,9434,1000,399,1000,1000,434,1000
scaffold93,378,147,467,378,147,467,378,147,467
scaffold94,768,195,768,768,195,768,768,195,768
scaffold59,168349,57749,189286,1000,280,1000,1000,278,1000
scaffold52,664224,220789,681575,1000,242,1000,938,238,1000
scaffold84,417334,170993,424559,613,126,1000,1000,341,1000
scaffold77,225260,72746,235046,1000,301,1000,139,41,1000
scaffold89,508813,205716,515297,1000,328,1000,200,107,1000
scaffold100,5109,1697,6386,1000,420,1000,1000,233,1000
scaffold97,22246,6771,22935,1000,319,1000,351,125,1000
scaffold99,11892,3750,11892,1000,343,1000,1000,371,1000
scaffold64,1522536,524416,1543310,187,67,1000,1000,242,1000
scaffold103,4396,1262,5111,1000,317,1000,366,116,1000
scaffold90,109171,34557,118812,1000,436,1000,1000,357,1000
scaffold106,3733,1391,6153,1000,511,1000,1000,333,1000
scaffold56,789371,258459,807475,827,291,1000,1000,308,1000
scaffold98,167875,55389,182400,1000,275,1000,1000,215,1000
scaffold109,17986,5383,22432,745,275,1000,1000,375,1000
scaffold68,803204,266530,814073,1000,346,1000,247,84,1000
scaffold72,1071262,361266,1088093,1000,271,1000,1000,302,1000
scaffold108,481168,183409,484449,1000,376,1000,1000,330,1000
scaffold83,568862,202191,577781,1000,336,1000,1000,362,1000
scaffold112,14526,5249,14898,1000,310,1000,1000,416,1000
scaffold115,72746,24509,73909,557,196,1000,1000,270,1000
scaffold58,624939,219090,655247,1000,303,1000,811,223,1000
scaffold116,5370,2502,8732,1000,640,1000,1000,453,1000
scaffold110,12706,6592,15125,1000,467,1000,1000,414,1000
scaffold111,182012,68232,186824,1000,251,1000,1000,312,1000
scaffold105,33758,10788,36114,849,283,1000,1000,264,1000
scaffold121,377,186,518,377,186,518,377,186,518
scaffold122,12895,4298,13098,797,361,1000,1000,322,1000
scaffold120,14437,4529,14946,1000,278,1000,682,236,1000
scaffold96,231882,76768,250928,1000,262,1000,1000,354,1000
scaffold123,7310,2272,7310,1000,252,1000,1000,208,1000
scaffold124,12748,3676,13112,1000,319,1000,636,171,1000
scaffold127,842,352,842,842,352,842,842,352,842
scaffold57,1293376,444947,1315941,1000,435,1000,1000,216,1000
scaffold95,141855,47884,152441,1000,210,1000,1000,330,1000
scaffold126,25809,7849,26737,1000,345,1000,968,284,1000
scaffold117,143805,52931,156904,1000,637,1000,1000,407,1000
scaffold132,800,239,800,800,239,800,800,239,800
scaffold133,6442,2711,11010,1000,521,1000,871,380,1000
scaffold134,8690,2109,8692,1000,223,1000,1000,264,1000
scaffold113,82328,25426,91634,887,364,1000,974,281,1000
scaffold136,1124,300,1124,1000,259,1000,1000,258,1000
scaffold125,84535,27780,93685,790,255,1000,1000,306,1000
scaffold102,481192,154411,496349,1000,444,1000,1000,208,1000
scaffold137,8878,2829,10152,1000,332,1000,1000,391,1000
scaffold114,703498,233781,716902,228,93,1000,1000,297,1000
scaffold130,304919,95478,312033,1000,281,1000,1000,344,1000
scaffold119,86726,29565,96887,1000,358,1000,1000,388,1000
scaffold143,6398,1956,7395,1000,278,1000,1000,375,1000
scaffold144,1174,344,1174,1000,289,1000,1000,303,1000
